ph,Chloramines,Turbidity,Potability
7.080794504276835,7.300211873184757,2.9631353806316407,0
3.71608007538699,6.635245883862,4.500656274942408,0
8.099124189298397,9.275883602694089,3.0559337496641685,0
8.316765884214679,8.05933237743854,4.628770536837084,0
9.092223456290965,6.546599974207941,4.075075425430034,0
5.584086638456089,7.54486878877965,2.5597082275565217,0
10.223862164528772,7.5134084658313025,2.672988736934779,0
8.635848718500734,4.563008685599703,4.401424715445482,0
7.080794504276835,7.804173553073094,3.5950171809576155,0
11.180284470721592,9.077200016914391,4.370561936655497,0
7.360640105838258,7.550700906704114,3.662291782852457,0
7.974521648923869,8.110384501123875,4.011718108339787,0
7.119824384264552,3.60603609050572,3.445756223321899,0
7.080794504276835,6.838223470687509,4.413974182974902,0
7.49623220797336,5.072557773840631,4.777382337225378,0
6.347271760539316,9.629596276480584,4.376348290691898,0
7.051785800016845,10.094796011661426,4.268428857506186,0
9.181560007151536,6.904989726470096,4.503660796179122,0
8.975464347533963,6.204320858892474,2.4360855903052734,0
7.371050302429531,4.432669290372123,2.5602991476149146,0
7.080794504276835,10.33391788821868,4.13342264357917,0
6.660212026118103,5.858769130547582,3.7497012410996176,0
7.080794504276835,5.607060453087125,5.459250956028731,0
3.902475685915096,6.996311586298768,4.528522696326911,0
5.400301780729467,10.056852484033495,4.824786389767524,0
6.514415093251676,8.67093691991312,5.200885076539757,0
3.4450618643852127,8.782147480773485,4.184396969028851,0
7.080794504276835,7.906444720606137,4.004871127571583,0
7.080794504276835,7.700063469729127,3.9915642477993063,0
7.080794504276835,9.04683270725723,6.0381849531835865,0
7.181448580829175,5.994678646449973,5.088859989138795,0
9.82548990813439,6.757540731413941,2.857472426051184,0
10.43329098280438,8.161504810728331,5.057310516515726,0
7.414148196336244,6.845952023844903,3.160624468232638,0
7.080794504276835,5.474914831733126,5.029166724080735,0
5.115817063771218,6.060712994989327,3.9020887676437535,0
3.641629777473381,5.538314133481364,3.464353035155024,0
5.618064405909149,6.101083505101921,2.8965469413044738,0
7.080794504276835,5.89075458310612,2.90756391519334,0
9.267187530763549,6.110612421393192,4.324004645618281,0
7.080794504276835,4.599387943421727,3.510004044590529,0
5.331940479018537,7.993829562375316,4.434820257956548,0
7.145771545218821,6.81402870120907,5.182590703980226,0
9.920691058768153,6.882248306781502,4.69070723013249,0
4.758439424671477,4.731348984614181,4.542801461749175,0
5.702925976824722,7.1843510891688,4.137739016206605,0
6.953864225511059,4.462707246137983,3.195710328196264,0
10.68296642580598,5.570783575394459,3.999775381550061,0
7.080794504276835,6.321928990361139,4.40558600033858,0
8.757257397440991,4.915101054543186,3.6261354416122304,0
7.080794504276835,7.046224797696413,3.048057223106976,0
7.80963189801941,5.212314602065352,2.447444463910633,0
6.652488090855707,4.961066380191502,3.742090426349668,0
9.14719705533692,7.2307947693374,3.7945315911032105,0
10.560744636218196,6.991259996238134,3.964686350022129,0
7.484254837727466,9.379133540507624,4.781188176562564,0
8.520806572970303,8.282808464509609,3.9406045297946832,0
4.999413810796919,7.230164126862036,4.460683931737437,0
7.080794504276835,8.335618549876713,4.405385705659032,0
7.080794504276835,8.187319049670325,4.089907689677867,0
3.9060783549561697,6.9948396173050975,3.902879711657464,0
6.391353623832183,5.375559891974689,3.92374916929651,0
7.080794504276835,8.810843045016396,3.8556022119167,0
8.692092012708041,8.23190033837729,4.477960248233931,0
8.085759800882219,6.534237410114922,4.068688909481666,0
6.203977702278348,7.873991884545469,5.215689206119035,0
5.058108868565138,8.983276144386597,5.106655774420084,0
7.080794504276835,8.417305032089528,4.620793451653219,0
7.080794504276835,4.502117033961811,3.4397400415499195,0
7.261550522070718,5.837086492837437,3.636364182680497,0
7.16046723080874,3.8030364235979857,3.8848910441472793,0
5.704764776213017,7.050503159576975,4.157533407489738,0
6.21727313516034,7.092462955305368,5.325833445695803,0
8.679934969964185,7.518764659399904,3.873470298448302,0
7.080794504276835,5.598326765629258,4.655916598688822,0
6.897322141100197,6.766009906754591,5.022783630004574,0
3.514545528745279,6.821679099461131,3.762615331099367,0
3.72250048593372,6.6845702741913415,3.662837731991359,0
6.455004797496717,5.756930038692856,2.2934314064128625,0
7.316804753880919,9.86504750268218,3.508372649783596,0
1.844538366498842,7.724432299963912,5.013463351103733,0
5.519125656437607,7.73072294792503,3.758995860323916,0
7.408985466924612,6.505923138805981,3.772420927989514,0
5.976769618087598,7.648599331443458,2.9946710955082176,0
6.395359131671062,5.1277468613272,4.191217514711704,0
